protein,Fasta_headers,T0.1,T0.2,T0.3,T2.1,T2.2,T2.3,T4.1,T4.2,T4.3,T6.1,T6.2,T6.3,T8.1,T8.2,T8.3
jgi|Aurli1|42774|fgenesh1_kg.3_#_32_#_isotig04911,jgi|Aurli1|42774|fgenesh1_kg.3_#_32_#_isotig04911,465215.3266,941853.7878,578217.0015,465030,974203.9946,605554.6787,434554.4166,1053813.799,693928.692,484682.4599,1145452.509,762460.0954,530598.0657,1218143.694,766025.8035
jgi|Aurli1|42810|fgenesh1_kg.3_#_68_#_isotig01841,jgi|Aurli1|42810|fgenesh1_kg.3_#_68_#_isotig01841,272617.2156,667991.5428,681173.0656,200500,472604.7381,436828.59,246907.2363,502460.5304,483556.9065,224247.2959,475735.3697,470987.2641,233782.9089,500010.222,485665.5722
jgi|Aurli1|42828|fgenesh1_kg.3_#_86_#_isotig04889,jgi|Aurli1|42828|fgenesh1_kg.3_#_86_#_isotig04889,5601434.902,3359708.069,3584719.837,5798100,3690050.174,3909402.068,5365393.109,3275285.707,3581327.866,4899794.807,3081554.467,3349815.043,4867827.279,3068889.356,3439516.059
jgi|Aurli1|42846|fgenesh1_kg.3_#_104_#_isotig01086,jgi|Aurli1|42846|fgenesh1_kg.3_#_104_#_isotig01086,54005.33382,422115.9704,567214.8231,28753,354695.0103,442301.7297,26340.37979,326067.82,420698.5597,24687.35756,299970.7737,398374.8167,31703.00938,295637.0837,399447.0165
jgi|Aurli1|42854|fgenesh1_kg.3_#_112_#_isotig00360,jgi|Aurli1|42854|fgenesh1_kg.3_#_112_#_isotig00360,260284.0674,239422.8561,250540.0601,288750,300618.5579,289820.7561,349153.0605,333739.117,376846.2543,390490.6957,386658.009,397551.6796,409239.9517,368464.2595,390982.0058
jgi|Aurli1|42857|fgenesh1_kg.3_#_115_#_isotig07057,jgi|Aurli1|42857|fgenesh1_kg.3_#_115_#_isotig07057,645207.0867,580492.336,443835.6197,636150,583310.1854,465983.8074,613822.8511,612214.7381,442000.1799,575835.7802,550371.5528,408393.5706,580421.1341,578075.9968,447976.6691
jgi|Aurli1|42866|fgenesh1_kg.3_#_124_#_isotig00152,jgi|Aurli1|42866|fgenesh1_kg.3_#_124_#_isotig00152,386230.489,365610.346,400136.5149,468600,482736.0654,522586.0648,573320.7482,571464.5068,632870.7991,552318.2236,540148.2436,615800.5903,553533.1153,562960.5571,630101.2587
jgi|Aurli1|42877|fgenesh1_kg.3_#_135_#_isotig05213,jgi|Aurli1|42877|fgenesh1_kg.3_#_135_#_isotig05213,500009.6355,334047.1317,368379.4731,580860,449878.2392,479916.492,556041.3972,415682.517,462817.9281,567338.2651,442534.7209,446881.1074,539727.0765,401706.6069,403725.6527
jgi|Aurli1|42885|fgenesh1_kg.3_#_143_#_isotig05481,jgi|Aurli1|42885|fgenesh1_kg.3_#_143_#_isotig05481,1414018.858,1460312.268,1585419.446,1266400,1360337.657,1498547.961,1039080.436,1081426.699,1273933.663,1022335.127,1002948.817,1146865.1,1112897.839,1091875.063,1217162.436
jgi|Aurli1|42891|fgenesh1_kg.3_#_149_#_isotig08842,jgi|Aurli1|42891|fgenesh1_kg.3_#_149_#_isotig08842,2475899.015,2196164.722,2474107.972,2705500,2411315.037,2719488.054,2719178.406,2515601.121,2954094.738,3028619.705,2916153.775,3248451.594,2986057.345,2916960.305,3123404.42
