name_anno,max_exp,max_exp_raw
29416,20.79,1990345.5
141237,20.79,1917466.34
41586,20.79,2082797.3
70167,20.78,1891986.19
138505,20.78,2007811.84
71350,20.78,2000110.86
137525,20.78,1956832.5
140633,20.78,1923665.78
40033,20.77,1951710.18
139715,20.77,2023243.44
137377,20.77,2045384.24
77767,20.77,1944841.25
139555,20.77,2029680.6
136865,20.77,1961988.03
140078,20.77,1955904.7
44883,20.77,1928659.77
141656,20.77,1926728.67
141950,20.76,2240164.16
140516,20.76,2159880.38
136164,20.76,2093754.19
35248,20.76,1970041.9
45395,20.76,1924317.99
44310,20.75,1789281.14
A0A6S8DAI1,20.75,1870569.98
A0A6S8AYH3,20.75,2171587.78
52020,20.75,2248120.85
49344,20.74,2253200
141448,20.74,1990928.96
76467,20.73,1895855.18
75184,20.73,1780794.05
138805,20.73,2123059.5
42417,20.72,1872336.23
48674,20.72,1916664.19
142806,20.72,1938733.66
52554,20.72,2244100
29872,20.71,2213820.02
141004,20.71,1922622.08
42973,20.71,2072467.28
34581,20.71,1801500
40250,20.71,1913664.32
48124,20.71,1902451.6
A0A6S8CNC6,20.71,1934082.78
44669,20.7,1764527.79
142114,20.7,1812334.86
45032,20.7,1850171.98
45134,20.69,1863826.65
631,20.69,1912631.07
A0A6S8EX42,20.69,1843556.57
136342,20.68,1921412.25
48265,20.68,2120711.83
44120,20.68,2101755.22
45929,20.68,1799094.02
44025,20.67,2224757.42
137354,20.67,1748656.97
137840,20.67,1864848.27
81433,20.66,1860822.59
45608,20.65,1712659.86
141833,20.65,1951714.15
139073,20.65,1805951.29
43938,20.64,1782185.66
42422,20.64,1843756.56
46743,20.64,2142194.03
42250,20.64,1746714.51
41800,20.63,1875965.34
47463,20.63,1733981.79
47193,20.63,1755703.37
70957,20.63,3525236.47
80982,20.62,1974552.05
103997,20.62,1739226.83
11390,20.62,1687584.59
9170,20.62,1885229.1
35090,20.62,1752826.94
2349,20.62,1726869.25
70519,20.62,1729350.5
74860,20.61,1696235.64
50213,20.61,1647685.93
47005,20.61,1570482.97
141672,20.61,1971282.84
42885,20.61,1776298.21
118266,20.6,1783654.73
6697,20.6,1758700
43565,20.6,1809920.2
47961,20.59,1724612.65
41840,20.59,1930236.32
43039,20.59,1675467.55
A0A6S8E157,20.59,1668893.12
83039,20.58,1667912.25
44467,20.58,1878499.18
42521,20.58,3671782.12
141703,20.58,1609858.23
74907,20.57,1830304.04
118763,20.57,1765626.02
43290,20.57,1805187.63
43422,20.57,1945891.57
140971,20.57,1583031.65
41722,20.57,1723600
A0A6S8EZV0,20.56,1724112.86
139992,20.56,1755366.37
42009,20.56,1730536.8
139481,20.56,1798215.05
42455,20.56,1744566.59
139726,20.56,1723736.64
48779,20.56,1727146.31
A0A6S8EN07,20.55,1842313.11
70776,20.55,1735910.2
69401,20.54,1853870.71
44778,20.54,1790448.37
81423,20.54,1673793.31
138966,20.54,1535056.92
113726,20.54,1688607.41
138852,20.54,1613302.96
34735,20.54,1837580.79
A0A6S8D267,20.53,1580960.01
42421,20.53,1702094.06
43122,20.53,1776118.98
139165,20.53,1680827.02
67186,20.53,1654168.93
140489,20.53,1685675.45
44203,20.53,1662383.94
116372,20.53,1683729.67
137784,20.53,1783212.99
136766,20.52,1653680.27
43817,20.52,1574827.98
138237,20.52,1647088.98
63111,20.52,1654942.99
45927,20.51,1791937.17
136539,20.51,1605736.09
140845,20.51,1678057.87
140690,20.51,1640964.31
139978,20.51,1776371.95
136571,20.51,1849097.86
43547,20.5,1799362.09
46635,20.5,1546594.58
141881,20.5,1773086.58
43066,20.5,1834962.08
46809,20.5,1813874.22
136093,20.5,1705128.94
118179,20.49,1821781.2
73221,20.49,2002956.76
138217,20.49,1857626.96
58480,20.49,1675631.58
137243,20.49,1639448.09
141876,20.49,1700778.7
142693,20.49,1648939.22
44953,20.49,1682454.65
137462,20.49,1514391.33
111860,20.48,1729984.01
140210,20.48,1568549.8
141319,20.48,1780804.87
58081,20.48,1549578.35
136361,20.48,1705051.74
136325,20.48,1624120.58
41997,20.48,1494818.66
45508,20.47,1770425.49
141473,20.47,1661773.81
136398,20.46,1689173.03
A0A6S8FCD2,20.46,1622196.53
81247,20.46,1887286.22
109712,20.46,1635041.03
43796,20.45,1525216.99
111355,20.45,1570563.71
136475,20.45,1728506.21
45959,20.45,1651979.12
141652,20.44,1533086.74
48833,20.44,1564300.66
48617,20.44,1609470.78
43942,20.44,1856293.48
48319,20.43,1466100
141937,20.43,1691267.29
48848,20.43,1587263.07
75978,20.43,1639943.39
140561,20.43,1515093.76
42207,20.42,1479574.88
45175,20.42,1550688.36
42929,20.42,1779583.03
44303,20.41,1464981.48
77589,20.41,1474780.66
139855,20.41,1467069.01
138527,20.4,1521311.41
140487,20.4,1673172.68
97832,20.4,1577140.82
A0A6S8DA03,20.4,1490112.51
149380,20.4,1386451.71
138558,20.4,1587084.81
43661,20.4,1814067.56
142157,20.39,1681278.42
46953,20.39,1580004.53
136473,20.39,1555262.72
42583,20.39,1590042.2
10713,20.39,1712903.08
119619,20.39,1539963.42
140237,20.39,1441782.77
32564,20.39,1641912.39
42584,20.39,1521948.5
143491,20.39,1698371.23
32169,20.38,1564847.47
139035,20.38,1447325.68
43854,20.38,1671287.47
138891,20.38,1595600
138555,20.38,1532973.3
41657,20.38,1514010.74
114335,20.38,1479040.59
46680,20.37,1592984.8
47503,20.37,1439920.25
139405,20.37,1421068.6
96332,20.37,1536598.67
139106,20.37,1601768.73
141598,20.36,1362492.93
42411,20.36,1381228.38
71806,20.36,1541434.72
85714,20.36,1802138.93
29125,20.35,1459585.57
142802,20.35,1532753.31
137208,20.35,1537729.79
138701,20.35,1455450.77
47804,20.34,1468000
41608,20.34,1649954.31
44487,20.34,1508984.51
44415,20.34,1378783.74
A0A6S8AYW5,20.34,1488622.22
123422,20.33,1372343.9
30858,20.33,1548121.89
110060,20.33,1453266.65
48245,20.33,1461100
138787,20.32,1409477.46
59396,20.32,1548900
141647,20.32,1730798.84
78950,20.32,1422408.27
11757,20.31,1658565.66
67530,20.31,1507881.55
115052,20.31,1427092.71
138013,20.31,1494284.13
62893,20.3,1423473.61
78961,20.3,1547161.91
119202,20.3,1356420.98
44028,20.3,1463890.81
42920,20.3,1495199.13
80547,20.3,1594800
67136,20.3,1597950.45
80822,20.29,1416501.86
139450,20.29,1460147.43
45091,20.29,1427704.75
139498,20.29,1316300
45936,20.29,1414496.93
45108,20.29,1616678.68
96710,20.29,1483645.61
83165,20.29,1479400
47555,20.29,1309300
46459,20.28,1371052.14
A0A6S8EW60,20.28,1448082.94
141547,20.28,1372003.69
46675,20.28,1420367.65
43451,20.28,1516143.79
7054,20.27,1462936.1
46525,20.27,1399372.28
110565,20.27,1468685.66
137812,20.27,1332455.25
118949,20.27,1373497.21
55246,20.27,1510739.86
42243,20.27,1284544.21
45684,20.27,1420400
103046,20.26,1562411.22
46067,20.26,1538326.58
43818,20.26,1357112.4
48153,20.26,1374399.57
48720,20.26,1480747.01
139364,20.26,1403525.64
81852,20.26,1444741.94
138889,20.26,1482161.09
39989,20.26,1286605.53
136109,20.26,1845035.57
139041,20.25,1413322.41
46177,20.25,1383464.73
46877,20.25,1285158.15
85606,20.25,1348988.75
141442,20.25,1442160.08
119464,20.24,1304200
38293,20.24,1360715.13
115356,20.24,1502207.06
50876,20.23,1511848.22
44933,20.23,1423345.24
140988,20.23,1308024.56
83442,20.23,1543911.92
137532,20.23,1282506.74
72226,20.22,1311727.19
139023,20.22,1423106.94
143053,20.22,1375041.6
28564,20.22,1317104.71
A0A6S8E7H1,20.22,1351091.75
142405,20.22,1234183.03
47681,20.22,1283169.94
136953,20.21,1426405.15
142103,20.21,1379114.81
42098,20.21,1323457.12
136736,20.21,1375232.01
118689,20.21,1330830.1
140284,20.2,1313048.4
A0A6S8A1G9,20.2,1491900.86
43094,20.2,1552038.4
120112,20.2,1310002.98
48305,20.2,1357137.07
46461,20.2,1281394.83
77077,20.19,1374414.62
2507,20.19,1275199.27
8914,20.18,1234671.67
41753,20.18,1406815.9
45537,20.18,1225624.96
42185,20.18,1241909.04
47702,20.18,1338498.28
47750,20.18,1877953.95
44587,20.17,1178725.21
