name_anno,max_exp,max_exp_raw
43854,20.38,1671287.47
138891,20.38,1595600
138555,20.38,1532973.3
139106,20.37,1601768.73
141598,20.36,1362492.93
42411,20.36,1381228.38
41608,20.34,1649954.31
44487,20.34,1508984.51
44415,20.34,1378783.74
30858,20.33,1548121.89
48245,20.33,1461100
59396,20.32,1548900
141647,20.32,1730798.84
115052,20.31,1427092.71
119202,20.3,1356420.98
44028,20.3,1463890.81
67136,20.3,1597950.45
80822,20.29,1416501.86
139450,20.29,1460147.43
45091,20.29,1427704.75
45936,20.29,1414496.93
96710,20.29,1483645.61
83165,20.29,1479400
A0A6S8EW60,20.28,1448082.94
43451,20.28,1516143.79
46525,20.27,1399372.28
110565,20.27,1468685.66
118949,20.27,1373497.21
55246,20.27,1510739.86
48720,20.26,1480747.01
46177,20.25,1383464.73
46877,20.25,1285158.15
119464,20.24,1304200
38293,20.24,1360715.13
50876,20.23,1511848.22
44933,20.23,1423345.24
140988,20.23,1308024.56
137532,20.23,1282506.74
28564,20.22,1317104.71
42098,20.21,1323457.12
140284,20.2,1313048.4
A0A6S8A1G9,20.2,1491900.86
77077,20.19,1374414.62
8914,20.18,1234671.67
45537,20.18,1225624.96
47750,20.18,1877953.95
44587,20.17,1178725.21
A0A6S8ENW3,20.17,1253064.25
47829,20.16,1239420.57
140481,20.15,1437206.58
117249,20.15,1361331.7
139652,20.14,1250397.07
140207,20.13,1395488.94
43941,20.12,1260197.95
142911,20.12,1251976.38
136678,20.12,1339870.49
141206,20.12,1533137.45
138602,20.12,1314900
3947,20.11,1162473.09
75453,20.11,1284323.64
107122,20.11,1318014.69
47088,20.1,1186457.49
137534,20.1,1250716.62
140578,20.1,1337514.55
73555,20.09,1168390.19
105607,20.09,1305699.34
40261,20.08,1307462.65
138002,20.08,1335000
44292,20.07,1462210.57
141515,20.06,1440974.72
1874,20.05,1291476.75
A0A6S8D2A7,20.05,1112200
140287,20.05,1131072.25
110557,20.05,1125846.42
45316,20.05,1284193.27
46689,20.05,1570503.37
140355,20.05,1134506.64
85644,20.04,1236111.44
1281,20.04,1137676.49
42396,20.03,1204376.22
2819,20.03,1334148.16
140801,20.03,1216930.75
48256,20.03,1417393.89
34449,20.03,1634737.34
48031,20.03,1268928.74
115025,20.02,1272567.79
138929,20.02,1376402.75
3454,20.02,1375965.63
141865,20.02,1126965.53
48690,20,1146994.45
48330,19.99,1136351.8
A0A6S8AVJ1,19.99,1325158.66
34645,19.98,1114959.54
140744,19.98,1166580.2
47340,19.98,1153988.48
73682,19.97,1201061.94
38528,19.96,1173270.35
137949,19.95,1206079.06
139280,19.95,1124476.91
56807,19.95,1201154.73
136308,19.94,1120760.83
44752,19.94,1015439.03
44457,19.94,1101078.92
139352,19.94,1088824.86
8387,19.94,1172545.6
139586,19.94,1010403.11
138306,19.93,1015858.02
115638,19.92,1173722.02
140994,19.92,1206844.97
117679,19.91,1371814.25
118967,19.9,1103531.46
4023,19.9,1105787.73
A0A6S8BXA6,19.89,1113792.47
47522,19.89,1015900
139066,19.89,1124074.43
141082,19.89,1085409.95
43775,19.88,1218126.98
136860,19.88,1228057.49
138548,19.87,1100253.98
115094,19.86,1176893.36
137652,19.85,986842.37
138585,19.85,1166092.33
142488,19.85,1001598.08
140453,19.84,1086475.25
44282,19.84,1145391.89
A0A6S8FI62,19.83,1026518.96
44691,19.82,1028085.74
46037,19.82,1040319.94
67521,19.82,1153404.26
45593,19.81,1213117.34
A0A6S8E9V7,19.81,995820.15
A0A6S8D8J3,19.8,1018526.36
61326,19.8,949160
138286,19.8,1382804.97
43993,19.79,979644.13
58407,19.79,987667.3
117995,19.78,1032725.75
45119,19.77,1042400
54089,19.77,1204425.6
46994,19.77,1053896.84
43476,19.76,994210.91
9881,19.74,956039.55
34497,19.74,983865.34
73034,19.74,944307.58
84022,19.73,1067950.1
141520,19.73,1169333.05
9715,19.73,1042113.97
136427,19.72,918828.76
42502,19.72,858711.41
43299,19.7,1064278.01
56523,19.7,948665.92
9639,19.69,1021257.65
41774,19.68,1012620.6
47823,19.68,914119.88
56540,19.66,1173441.87
47351,19.66,934103.06
119199,19.66,887790.92
44040,19.65,936948.8
109323,19.65,871701.14
80514,19.64,960791.07
140642,19.64,925765.25
136470,19.64,904750
10398,19.63,866434.12
97114,19.63,938149.26
136538,19.62,937667.55
138767,19.62,1211817.13
42117,19.62,854773.03
139686,19.61,1153472.94
141519,19.61,906144.55
74302,19.6,890247.08
43807,19.6,912292.07
140375,19.6,1001934.29
42033,19.59,953059.66
79519,19.58,857923.38
117061,19.57,854578.7
78442,19.57,1070700
119343,19.56,871510
41474,19.56,956951.94
42145,19.54,907304.02
140947,19.53,890004.31
140143,19.53,852726.62
104016,19.53,798249.4
139443,19.53,871210.71
46348,19.51,910562.56
139649,19.51,874556.6
66133,19.5,969753.84
138816,19.5,946709.67
A0A6S8BYJ4,19.5,912517.12
141457,19.5,883773
41903,19.49,777400.07
70240,19.49,940320.95
1283,19.49,780616.15
47596,19.47,779472.95
136226,19.47,851256.66
57046,19.46,768100
46705,19.46,773643.47
28829,19.45,712960.11
45551,19.44,808250
35957,19.44,868749.15
35988,19.43,957791.74
138925,19.43,1051131.46
118329,19.43,742404.2
149081,19.42,805219.65
