"name","mmetspset_name","mmetsp_significant","jgiset_name","jgi_significant","both_significant"
"136248","A0A6S8FIB4",FALSE,"136248",FALSE,FALSE
"136257","A0A6S8B0N7",FALSE,"136257",FALSE,FALSE
"136262","A0A6S8EI75",TRUE,"136262",TRUE,TRUE
"136268","A0A6S8BTB0",FALSE,NA,NA,NA
"136278","A0A6S8FUF0",FALSE,NA,NA,NA
"136281","A0A6S8B2S0",FALSE,"136281",FALSE,FALSE
"136286","A0A6S8DUX2",FALSE,"136286",FALSE,FALSE
"136299","A0A6S8D7H6",TRUE,"136299",TRUE,TRUE
"136301","A0A6S8FES1",FALSE,"136301",FALSE,FALSE
"136303","A0A6S8BSZ6",FALSE,"136303",FALSE,FALSE
"136308","A0A6S8EDH4",TRUE,"136308",TRUE,TRUE
"136325","A0A6S8ANE7",FALSE,"136325",TRUE,FALSE
"136342","A0A6S8C6Z6",FALSE,"136342",FALSE,FALSE
"136358","A0A6S8A402",FALSE,NA,NA,NA
"136360","A0A6S8BTN7",FALSE,"136360",FALSE,FALSE
"136361","A0A6S8BS30",TRUE,"136361",TRUE,TRUE
"136376","A0A6S8BUE4",FALSE,"136376",FALSE,FALSE
"136379","A0A6S8DL82",FALSE,"136379",FALSE,FALSE
"136398","A0A6S8CKR1",FALSE,"136398",FALSE,FALSE
"136425","A0A6S8E484",FALSE,"136425",TRUE,FALSE
"136427","A0A6S8C9C4",TRUE,"136427",FALSE,FALSE
"136428","A0A6S8AQZ9",FALSE,"136428",FALSE,FALSE
"136434","A0A6S8A2Q1",FALSE,"136434",FALSE,FALSE
"136440","A0A6S8F2R0",FALSE,"136440",FALSE,FALSE
"136459","A0A6S8ACA4",FALSE,"136459",FALSE,FALSE
"136463","A0A6S8GCC2",FALSE,"136463",FALSE,FALSE
"136473","A0A6S8FE04",FALSE,"136473",FALSE,FALSE
"136478","A0A6S8F6N0",FALSE,"136478",FALSE,FALSE
"136481","A0A6S7ZJE5",FALSE,"136481",FALSE,FALSE
"136483","A0A6S8GDG6",FALSE,"136483",FALSE,FALSE
"136484","A0A6S8AVW4",FALSE,"136484",FALSE,FALSE
"136485","A0A6S8D4D5",FALSE,"136485",FALSE,FALSE
"136488","A0A6S8CX26",TRUE,"136488",TRUE,TRUE
"136489","A0A6S8C793",FALSE,"136489",FALSE,FALSE
"136496","A0A6S7ZX82",FALSE,"136496",FALSE,FALSE
"136501","A0A6S8EM66",FALSE,"136501",FALSE,FALSE
"136502","A0A6S8C202",TRUE,"136502",TRUE,TRUE
"136507","A0A6S8GCJ9",FALSE,"136507",FALSE,FALSE
"136510","A0A6S7ZUK9",FALSE,"136510",FALSE,FALSE
"136511","A0A6S8ABP4",FALSE,"136511",FALSE,FALSE
"136514","A0A6S8DEK9",FALSE,"136514",FALSE,FALSE
"136515","A0A6S8BU01",FALSE,NA,NA,NA
"136538","A0A6S8FX57",TRUE,"136538",FALSE,FALSE
"136539","A0A6S8A3K2",FALSE,"136539",FALSE,FALSE
"136541","A0A6S8BG81",FALSE,"136541",FALSE,FALSE
"136542","A0A6S8B2D9",FALSE,"136542",FALSE,FALSE
"136568","A0A6S8EA63",FALSE,"136568",FALSE,FALSE
"136571","A0A6S8EK31",FALSE,"136571",FALSE,FALSE
"136572","A0A6S7ZIR2",FALSE,"136572",FALSE,FALSE
"136573","A0A6S8BZ98",FALSE,"136573",FALSE,FALSE
"136584","A0A6S8EHJ0",FALSE,"136584",FALSE,FALSE
"136585","A0A6S8EK39",FALSE,"136585",FALSE,FALSE
"136586","A0A6S8ENJ8",FALSE,"136586",FALSE,FALSE
