MMETSP_ID,JGI_ID
A0A6S8C1Z4,140215
A0A6S7ZXG7,140231
A0A6S8D291,140237
A0A6S8DXG1,140245
A0A6S8CG25,140263
A0A6S7ZK48,140267
A0A6S7ZT09,140281
A0A6S8GCN4,140287
A0A6S8BCH1,140296
A0A6S8AR34,140299
A0A6S8AQ82,140316
A0A6S8CLF6,140323
A0A6S8G5C6,140338
A0A6S8A1I8,140342
A0A6S8EGF7,140344
A0A6S8GB23,140350
A0A6S8ADF4,140355
A0A6S7ZU84,140357
A0A6S8EFY1,140364
A0A6S8GBL0,140373
A0A6S8GGC9,140375
A0A6S8DV46,140403
A0A6S7ZGF2,140425
A0A6S8FGK3,140435
A0A6S8B8H5,140440
A0A6S8ACU7,140453
A0A6S8A9F4,140454
A0A6S7ZWD6,140461
A0A6S8B5B1,140473
A0A6S8AH87,140487
A0A6S8DCA2,140489
A0A6S8BUL7,140511
A0A6S8BPG7,140516
A0A6S7ZK65,140518
A0A6S8B4D8,140526
A0A6S8CMD7,140531
A0A6S7ZSW4,140537
A0A6S8ADC4,140542
